name,description,chunks
Фиксики: Большой секрет,"фиксики – маленькие добрые человечки, которые живут в машинах и приборах и заботятся о технике. но люди не должны знать о фиксиках! это большой секрет! фиксики находят способ перемещаться по электрическим проводам. теперь они смогут мгновенно починить любой прибор, где бы он ни был! и тут недоработанное изобретение попадает к озорнику файеру. в руках маленького фиксика оно становится причиной больших проблем. искры, взрывы, разрушения, взбесившаяся техника – город на грани катастрофы! фиксикам почти чудом удаётся её предотвратить. но как сохранить их большой секрет?!","фиксики – маленькие добрые человечки, которые живут в машинах и приборах и заботятся о технике. но люди не должны знать о фиксиках! это большой секрет! фиксики находят способ перемещаться по электрическим проводам. теперь они смогут мгновенно починить любой прибор, где бы он ни был! и тут недоработанное изобретение попадает к озорнику файеру. в руках маленького фиксика оно становится причиной больших проблем."
Социальная сеть,"октябрьский вечер 2003 года. студента гарварда марка цукерберга бросает егодевушка. раздосадованный марк, подогретый алкоголем, решает отомстить ипубликует злобный иоскорбительный пост вадрес бывшей подруги. ноэтого парню показалось мало. онрешает создать сайт, позволяющий сформировать рейтинг студенток постепени привлекательности. марк взламывает базы данных различных общежитий, скачивает фотографии ивсю необходимую информацию, используя алгоритм, предложенный егодругом эдуардо. после сбора данных марк создаёт страницу facemash.com, гдестуденты могут проголосовать заодну издвух девушек, которая поих мнению является более привлекательной. такначинается история создания одной изкрупнейшей социальных сетей мира, которая впоследствии получит название facebook.","октябрьский вечер 2003 года. студента гарварда марка цукерберга бросает егодевушка. раздосадованный марк, подогретый алкоголем, решает отомстить ипубликует злобный иоскорбительный пост вадрес бывшей подруги. ноэтого парню показалось мало. онрешает создать сайт, позволяющий сформировать рейтинг студенток постепени привлекательности. марк взламывает базы данных различных общежитий, скачивает фотографии ивсю необходимую информацию, используя алгоритм, предложенный егодругом эдуардо."
Социальная сеть,"октябрьский вечер 2003 года. студента гарварда марка цукерберга бросает егодевушка. раздосадованный марк, подогретый алкоголем, решает отомстить ипубликует злобный иоскорбительный пост вадрес бывшей подруги. ноэтого парню показалось мало. онрешает создать сайт, позволяющий сформировать рейтинг студенток постепени привлекательности. марк взламывает базы данных различных общежитий, скачивает фотографии ивсю необходимую информацию, используя алгоритм, предложенный егодругом эдуардо. после сбора данных марк создаёт страницу facemash.com, гдестуденты могут проголосовать заодну издвух девушек, которая поих мнению является более привлекательной. такначинается история создания одной изкрупнейшей социальных сетей мира, которая впоследствии получит название facebook.","Социальная сеть: марк взламывает базы данных различных общежитий, скачивает фотографии ивсю необходимую информацию, используя алгоритм, предложенный егодругом эдуардо. после сбора данных марк создаёт страницу facemash. com, гдестуденты могут проголосовать заодну издвух девушек, которая поих мнению является более привлекательной. такначинается история создания одной изкрупнейшей социальных сетей мира, которая впоследствии получит название facebook."
Убойные каникулы,"группа студентов отправляется загород, чтобы вовсю оторваться навыходных: попить пивка, поплавать возере иподышать чистым воздухом. нов первый жедень онисталкиваются снеотёсанными фермерами такером идейлом, которые тоже решили какследует оттянуться наприроде. приняв этих навид диковатых, нобезобидных ребят зазлобных маньяков, горожане решают дать деревенщине жёсткий отпор.","Убойные каникулы: группа студентов отправляется загород, чтобы вовсю оторваться навыходных: попить пивка, поплавать возере иподышать чистым воздухом. нов первый жедень онисталкиваются снеотёсанными фермерами такером идейлом, которые тоже решили какследует оттянуться наприроде. приняв этих навид диковатых, нобезобидных ребят зазлобных маньяков, горожане решают дать деревенщине жёсткий отпор."
Тор 2: Царство тьмы,"могучему тору предстоит вновь сразиться за восстановление порядка в галактике, встретившись лицом к лицу с древней инопланетной расой, ведомой злодеем малекитом, который жаждет установить в девяти мирах власть тьмы. столкнувшись с врагом, более могущественным, чем сам один и всё воинство асгарда, тор должен собрать силы для решающей битвы. его ждёт опасное путешествие и долгожданная встреча со своей земной возлюбленной джейн фостер. сможет ли тор рискнуть самым дорогим, чтобы не дать тьме воцариться на просторах вселенной?","могучему тору предстоит вновь сразиться за восстановление порядка в галактике, встретившись лицом к лицу с древней инопланетной расой, ведомой злодеем малекитом, который жаждет установить в девяти мирах власть тьмы. столкнувшись с врагом, более могущественным, чем сам один и всё воинство асгарда, тор должен собрать силы для решающей битвы. его ждёт опасное путешествие и долгожданная встреча со своей земной возлюбленной джейн фостер."
Золотое дно,"после смерти алексея градова, владельца крупного строительного холдинга, егонаследники вступают вборьбу замиллиардное состояние сбывшим чиновником ибизнес-партнером покойного. состороны семьи войну возглавляет градов-старший—патриарх семьи, основавший фамильный бизнес в90-е, ноотошедший отдел. всоюзники онберёт финансиста истратега компании надежду, которая была нетолько коллегой, нои любовницей егосына. кроме передела активов градовы—жёны, дети, внуки—заняты выявлением старых обид инакопившихся друг кдругу претензий. уних есть всё—деньги, власть, связи, статус. ноэтого иммало. впогоне занаследством ониготовы разорвать нетолько врагов семьи, нои друг друга.","после смерти алексея градова, владельца крупного строительного холдинга, егонаследники вступают вборьбу замиллиардное состояние сбывшим чиновником ибизнес-партнером покойного. состороны семьи войну возглавляет градов-старший—патриарх семьи, основавший фамильный бизнес в90-е, ноотошедший отдел. всоюзники онберёт финансиста истратега компании надежду, которая была нетолько коллегой, нои любовницей егосына."
Золотое дно,"после смерти алексея градова, владельца крупного строительного холдинга, егонаследники вступают вборьбу замиллиардное состояние сбывшим чиновником ибизнес-партнером покойного. состороны семьи войну возглавляет градов-старший—патриарх семьи, основавший фамильный бизнес в90-е, ноотошедший отдел. всоюзники онберёт финансиста истратега компании надежду, которая была нетолько коллегой, нои любовницей егосына. кроме передела активов градовы—жёны, дети, внуки—заняты выявлением старых обид инакопившихся друг кдругу претензий. уних есть всё—деньги, власть, связи, статус. ноэтого иммало. впогоне занаследством ониготовы разорвать нетолько врагов семьи, нои друг друга.","Золотое дно: всоюзники онберёт финансиста истратега компании надежду, которая была нетолько коллегой, нои любовницей егосына. кроме передела активов градовы—жёны, дети, внуки—заняты выявлением старых обид инакопившихся друг кдругу претензий. уних есть всё—деньги, власть, связи, статус. ноэтого иммало. впогоне занаследством ониготовы разорвать нетолько врагов семьи, нои друг друга."
Люди в чёрном 3,"агент джей узнает, что никакого защитного галактического щита, способного отразить иноземный удар, не существует. агент кей не построил его, потому что был убит в 1969 году. агент джей должен совершить путешествие во времени, чтобы спасти землю и жизнь напарника.","Люди в чёрном 3: агент джей узнает, что никакого защитного галактического щита, способного отразить иноземный удар, не существует. агент кей не построил его, потому что был убит в 1969 году. агент джей должен совершить путешествие во времени, чтобы спасти землю и жизнь напарника."
Мы — Миллеры,"дэвид кларк—мелкий торговец наркотиками. среди егоклиентов—повара искучающие домохозяйки. детям оннаркотики непродаёт ипоэтому считает себя принципиальным человеком. дэвид действительно хорошо относится кдетям, ноэто неостается безнаказанным—он пытается помочь подросткам, попавшим вбеду, ина него нападают хулиганы. ониотбирают унего наркотики иденьги, идэвид оказывается вотчаянном положении. ведь емунечем расплатиться споставщиком. единственный выход—подрядиться надоставку крупной партии наркотиков через границу.","дэвид кларк—мелкий торговец наркотиками. среди егоклиентов—повара искучающие домохозяйки. детям оннаркотики непродаёт ипоэтому считает себя принципиальным человеком. дэвид действительно хорошо относится кдетям, ноэто неостается безнаказанным—он пытается помочь подросткам, попавшим вбеду, ина него нападают хулиганы. ониотбирают унего наркотики иденьги, идэвид оказывается вотчаянном положении. ведь емунечем расплатиться споставщиком."
Мастер и Маргарита,"1930-е годы. вмоскве появляется загадочный иностранец, который представляется воландом. вместе сним вжизнь советского города вторгается чертовщина имистика, априслуга этого господина сводит сума обывателей иморочит имголову. ноесть увизита воланда иоборотная, скрытая отпростых смертных сторона.","Мастер и Маргарита: 1930-е годы. вмоскве появляется загадочный иностранец, который представляется воландом. вместе сним вжизнь советского города вторгается чертовщина имистика, априслуга этого господина сводит сума обывателей иморочит имголову. ноесть увизита воланда иоборотная, скрытая отпростых смертных сторона."
Жизнь Дэвида Гейла,"дэвид гейл—человек, который пробовал жить всоответствии сосвоими принципами, но, впричудливом повороте судьбы, этот преданный отец, популярный профессор иярый противник смертной казни окажется вкамере смертников заубийство активистки констанции харравей. затри днядо исполнения приговора гейл соглашается дать интервью репортеру битси блум.но журналистка вскоре понимает, чтоее участие вэтом деле неограничится одним интервью ичто жизнь человека находится вее руках. поставив након свою собственную безопасность, онаначинает расследовать теужасные события, которые окружали смерть констанции.","дэвид гейл—человек, который пробовал жить всоответствии сосвоими принципами, но, впричудливом повороте судьбы, этот преданный отец, популярный профессор иярый противник смертной казни окажется вкамере смертников заубийство активистки констанции харравей. затри днядо исполнения приговора гейл соглашается дать интервью репортеру битси блум. но журналистка вскоре понимает, чтоее участие вэтом деле неограничится одним интервью ичто жизнь человека находится вее руках."
Жизнь Дэвида Гейла,"дэвид гейл—человек, который пробовал жить всоответствии сосвоими принципами, но, впричудливом повороте судьбы, этот преданный отец, популярный профессор иярый противник смертной казни окажется вкамере смертников заубийство активистки констанции харравей. затри днядо исполнения приговора гейл соглашается дать интервью репортеру битси блум.но журналистка вскоре понимает, чтоее участие вэтом деле неограничится одним интервью ичто жизнь человека находится вее руках. поставив након свою собственную безопасность, онаначинает расследовать теужасные события, которые окружали смерть констанции.","Жизнь Дэвида Гейла: но журналистка вскоре понимает, чтоее участие вэтом деле неограничится одним интервью ичто жизнь человека находится вее руках. поставив након свою собственную безопасность, онаначинает расследовать теужасные события, которые окружали смерть констанции."
Комитет,"диму васильева, сына генерала кгбростовского, готовят кпрестижной иопасной работе заграницей. однако после случайной провинности егоотправляют вленинград, гдеон сталкивается срутиной службы ввиде слежки заиностранными гражданами ив какой-то момент начинает сомневаться втом, правильно лион выбрал свой путь. паша иванов—дембель-пограничник. обезвредив опасную банду, грабившую сберкассы, онполучает приглашение наслужбу вкгб ленинграда иначинает заниматься личной охраной первых лицгорода. володя наумов после окончания курсов кгбедет вгород наневе залюбимой, которая получила распределение на«ленфильм». тамего ждет работа попредотвращению идеологических диверсий итерактов.","диму васильева, сына генерала кгбростовского, готовят кпрестижной иопасной работе заграницей. однако после случайной провинности егоотправляют вленинград, гдеон сталкивается срутиной службы ввиде слежки заиностранными гражданами ив какой-то момент начинает сомневаться втом, правильно лион выбрал свой путь. паша иванов—дембель-пограничник. обезвредив опасную банду, грабившую сберкассы, онполучает приглашение наслужбу вкгб ленинграда иначинает заниматься личной охраной первых лицгорода."
Комитет,"диму васильева, сына генерала кгбростовского, готовят кпрестижной иопасной работе заграницей. однако после случайной провинности егоотправляют вленинград, гдеон сталкивается срутиной службы ввиде слежки заиностранными гражданами ив какой-то момент начинает сомневаться втом, правильно лион выбрал свой путь. паша иванов—дембель-пограничник. обезвредив опасную банду, грабившую сберкассы, онполучает приглашение наслужбу вкгб ленинграда иначинает заниматься личной охраной первых лицгорода. володя наумов после окончания курсов кгбедет вгород наневе залюбимой, которая получила распределение на«ленфильм». тамего ждет работа попредотвращению идеологических диверсий итерактов.","Комитет: обезвредив опасную банду, грабившую сберкассы, онполучает приглашение наслужбу вкгб ленинграда иначинает заниматься личной охраной первых лицгорода. володя наумов после окончания курсов кгбедет вгород наневе залюбимой, которая получила распределение на«ленфильм». тамего ждет работа попредотвращению идеологических диверсий итерактов."
Мой любимый враг,"она—милая инепредсказуемая, он—холодный ипомешанный наконтроле. ониработают вместе вкрупном издательстве нью-йорка иненавидят друг друга спервого взгляда. страстный поцелуй влифте переворачивает жизнь вверх дном, ноборьба завысокую должность возвращает всё накруги своя. неужели такбудет всегда?","Мой любимый враг: она—милая инепредсказуемая, он—холодный ипомешанный наконтроле. ониработают вместе вкрупном издательстве нью-йорка иненавидят друг друга спервого взгляда. страстный поцелуй влифте переворачивает жизнь вверх дном, ноборьба завысокую должность возвращает всё накруги своя. неужели такбудет всегда?."
Призрак,"еще вчера юрий гордеев—амбициозный авиаконструктор илюбимец женщин—был вшаге отсвоего триумфа. егосамолет юг-1 должен былстать настоящим прорывом вотечественной авиации. носегодня егоникто невидит ине слышит, иконкурент побизнесу беспрепятственно закрывает егокомпанию. всепотому, чтоюра разбился вавтокатастрофе истал призраком.школьник ваня кузнецов былпустым местом всегда. жертва гиперопеки матери, объект насмешек одноклассников, онбоится даже заговорить сдевочкой, вкоторую давно влюблен. уюры есть неделя, чтобы закончить дело своей жизни иподнять самолет ввоздух. ваня—единственный, ктоего видит иможет емупомочь.","еще вчера юрий гордеев—амбициозный авиаконструктор илюбимец женщин—был вшаге отсвоего триумфа. егосамолет юг-1 должен былстать настоящим прорывом вотечественной авиации. носегодня егоникто невидит ине слышит, иконкурент побизнесу беспрепятственно закрывает егокомпанию. всепотому, чтоюра разбился вавтокатастрофе истал призраком. школьник ваня кузнецов былпустым местом всегда. жертва гиперопеки матери, объект насмешек одноклассников, онбоится даже заговорить сдевочкой, вкоторую давно влюблен."
Такси 2,"во францию прибывает министр обороны японии. цель его визита - ознакомиться с французским опытом борьбы с терроризмом и подписать «контракт века» о взаимном сотрудничестве.неожиданно во время показательных выступлений французской полиции министра обороны похищают якудза, желающая сорвать заключение наиважнейшего контракта. даниэль и эмильен отправляются на поиски высокого гостя. в дело вступает уже хорошо знакомое нам такси.","Такси 2: во францию прибывает министр обороны японии. цель его визита - ознакомиться с французским опытом борьбы с терроризмом и подписать «контракт века» о взаимном сотрудничестве. неожиданно во время показательных выступлений французской полиции министра обороны похищают якудза, желающая сорвать заключение наиважнейшего контракта. даниэль и эмильен отправляются на поиски высокого гостя. в дело вступает уже хорошо знакомое нам такси."
Дружить по-русски!,"если ты родился во франции, но c русской душой — ты веришь в дружбу и всегда приходишь на помощь, можешь собрать ппш с закрытыми глазами и готов на оскорбление ответить ударом в зубы. и даже если ты чистокровный француз, ты знаешь — русские своих не бросают!","Дружить по-русски!: если ты родился во франции, но c русской душой — ты веришь в дружбу и всегда приходишь на помощь, можешь собрать ппш с закрытыми глазами и готов на оскорбление ответить ударом в зубы. и даже если ты чистокровный француз, ты знаешь — русские своих не бросают!."
Три богатыря и Шамаханская царица,"легендарная шамаханская царица, которая сводила с ума многих царей и простых смертных, положила свой глаз и на киевского князя. тот заболел любовью странной по ней. но чтобы доставить в целости и сохранности эту чудо-богиню в киев-град, срочно из отпуска вызывают всех троих, уже знакомых нам, богатырей: алёшу поповича, добрыню никитича и илью муромца. теперь троица должна решить, как быть дальше? вроде бы и слухи о царице ходят нелестные, и князя жаль.","Три богатыря и Шамаханская царица: легендарная шамаханская царица, которая сводила с ума многих царей и простых смертных, положила свой глаз и на киевского князя. тот заболел любовью странной по ней. но чтобы доставить в целости и сохранности эту чудо-богиню в киев-град, срочно из отпуска вызывают всех троих, уже знакомых нам, богатырей: алёшу поповича, добрыню никитича и илью муромца. теперь троица должна решить, как быть дальше? вроде бы и слухи о царице ходят нелестные, и князя жаль."
Майор Гром: Игра,"майор полиции игорь гром известен всему санкт-петербургу пробивным характером инепримиримой позицией поотношению кпреступникам всех мастей. неимоверная сила, аналитический склад умаи неподкупность—всё этоделает майора грома самым настоящим супергероем. егожизнь идеальна: днём онловит преступников вместе снапарником димой дубиным, авечера проводит вкомпании журналистки юлии пчёлкиной. полную идиллию прерывает появление вгороде таинственного злодея, называющего себя призраком. онпредлагает грому сыграть вопасную игру, ставка вкоторой—жизни обычных людей.","майор полиции игорь гром известен всему санкт-петербургу пробивным характером инепримиримой позицией поотношению кпреступникам всех мастей. неимоверная сила, аналитический склад умаи неподкупность—всё этоделает майора грома самым настоящим супергероем. егожизнь идеальна: днём онловит преступников вместе снапарником димой дубиным, авечера проводит вкомпании журналистки юлии пчёлкиной. полную идиллию прерывает появление вгороде таинственного злодея, называющего себя призраком."
За час до рассвета,"1946 год. капитан денис журавлёв возвращается кмирной жизни иустраивается наслужбу вмилицию. егоначальник—майор шумейко попрозвищу сатана—человек стяжёлым характером, норешения поставленных задач добивается любой ценой. журавлёв появляется вкоманде какраз вовремя: вгороде орудует банда преступника попрозвищу клещ, и, чтобы поймать его, нужен неординарный план, который журавлёв берётся реализовать. однако скоро становится очевидно, чтовойна, идущая вмирное время, когда непонятно, ктодруг, акто враг, ещё запутаннее, чемвойна, скоторой онтолько чтовернулся.","1946 год. капитан денис журавлёв возвращается кмирной жизни иустраивается наслужбу вмилицию. егоначальник—майор шумейко попрозвищу сатана—человек стяжёлым характером, норешения поставленных задач добивается любой ценой. журавлёв появляется вкоманде какраз вовремя: вгороде орудует банда преступника попрозвищу клещ, и, чтобы поймать его, нужен неординарный план, который журавлёв берётся реализовать."
За час до рассвета,"1946 год. капитан денис журавлёв возвращается кмирной жизни иустраивается наслужбу вмилицию. егоначальник—майор шумейко попрозвищу сатана—человек стяжёлым характером, норешения поставленных задач добивается любой ценой. журавлёв появляется вкоманде какраз вовремя: вгороде орудует банда преступника попрозвищу клещ, и, чтобы поймать его, нужен неординарный план, который журавлёв берётся реализовать. однако скоро становится очевидно, чтовойна, идущая вмирное время, когда непонятно, ктодруг, акто враг, ещё запутаннее, чемвойна, скоторой онтолько чтовернулся.","За час до рассвета: журавлёв появляется вкоманде какраз вовремя: вгороде орудует банда преступника попрозвищу клещ, и, чтобы поймать его, нужен неординарный план, который журавлёв берётся реализовать. однако скоро становится очевидно, чтовойна, идущая вмирное время, когда непонятно, ктодруг, акто враг, ещё запутаннее, чемвойна, скоторой онтолько чтовернулся."
Мальчик в полосатой пижаме,"история, происходящая во время второй мировой войны и показанная сквозь глаза невинного и ничего не подозревающего о происходящих событиях бруно, восьмилетнего сына коменданта концентрационного лагеря. его случайное знакомство и дружба с еврейским мальчиком по другую сторону ограды лагеря, в конечном счете, приводит к самым непредсказуемым и ошеломительным последствиям.","Мальчик в полосатой пижаме: история, происходящая во время второй мировой войны и показанная сквозь глаза невинного и ничего не подозревающего о происходящих событиях бруно, восьмилетнего сына коменданта концентрационного лагеря. его случайное знакомство и дружба с еврейским мальчиком по другую сторону ограды лагеря, в конечном счете, приводит к самым непредсказуемым и ошеломительным последствиям."
Апокалипсис,"1517 год. полуостров юкатан. водин день рушится мириндейца поимени лапа ягуара. егодеревню захватывает соседнее племя, уничтожая хижины, забирая местных жителей вплен. еговедут вгород, чтобы принести вжертву богам. перед лицом неминуемой смерти лапа ягуара должен побороть свои самые сильные страхи исовершить отчаянный рывок, чтобы спасти то, чтоему дорого.","Апокалипсис: 1517 год. полуостров юкатан. водин день рушится мириндейца поимени лапа ягуара. егодеревню захватывает соседнее племя, уничтожая хижины, забирая местных жителей вплен. еговедут вгород, чтобы принести вжертву богам. перед лицом неминуемой смерти лапа ягуара должен побороть свои самые сильные страхи исовершить отчаянный рывок, чтобы спасти то, чтоему дорого."
Меч короля Артура,"молодой артур живёт назадворках лондиниума вместе сосвоей бандой. они понятия неимел особственном королевском происхождении, пока однажды невзял вруки мечэкскалибур. мечначинает менять артура. врезультате онприсоединяется ксопротивлению итаинственной молодой девушке поимени гвиневра. емупредстоит научиться понимать магическое оружие, которым оновладел, преодолеть себя иобъединить народ вборьбе против диктатора вортигерна, убившего егородителей изавладевшего короной.","Меч короля Артура: молодой артур живёт назадворках лондиниума вместе сосвоей бандой. они понятия неимел особственном королевском происхождении, пока однажды невзял вруки мечэкскалибур. мечначинает менять артура. врезультате онприсоединяется ксопротивлению итаинственной молодой девушке поимени гвиневра. емупредстоит научиться понимать магическое оружие, которым оновладел, преодолеть себя иобъединить народ вборьбе против диктатора вортигерна, убившего егородителей изавладевшего короной."
Господин Никто,"проснувшийся немощным стариком немо никто оказывается последним смертным вгротескном будущем. вселюди ужедавно бессмертны ис удовольствием наблюдают зателешоу, гдеглавная звезда—дряхлый ибезумный старик немо, доживающий последние дни. кнему приходит журналист, инемо рассказывает емусвою историю.","Господин Никто: проснувшийся немощным стариком немо никто оказывается последним смертным вгротескном будущем. вселюди ужедавно бессмертны ис удовольствием наблюдают зателешоу, гдеглавная звезда—дряхлый ибезумный старик немо, доживающий последние дни. кнему приходит журналист, инемо рассказывает емусвою историю."
Аладдин,"в славном граде аграба живёт аладдин, веселый воришка с золотым сердцем. живёт и не знает, что вскоре его ждёт величайшее приключение в жизни. ведь только с его помощью чёрный маг джафар может овладеть невероятным сокровищем — лампой, в которой заключён исполняющий желания могущественный джинн. и только хитроумие, смекалка и доброта аладдина и его друзей — обезьянки абу, принцессы жасмин и самого джинна - способны помешать джафару завладеть лампой и захватить власть над миром.","Аладдин: в славном граде аграба живёт аладдин, веселый воришка с золотым сердцем. живёт и не знает, что вскоре его ждёт величайшее приключение в жизни. ведь только с его помощью чёрный маг джафар может овладеть невероятным сокровищем — лампой, в которой заключён исполняющий желания могущественный джинн. и только хитроумие, смекалка и доброта аладдина и его друзей — обезьянки абу, принцессы жасмин и самого джинна - способны помешать джафару завладеть лампой и захватить власть над миром."
